dataset,site_id,label,task_mean,task_std,heap_delta,heap_mean,heap_std,total_requests,script_requests,wasm_requests,unique_hosts
crypto,site_0,cryptojacking,0.0047291,0.002788469,864,504024,275.739007,2,1,0,1
crypto,site_1,cryptojacking,0.0064032,0.00306029,864,636460,275.739007,13,0,0,6
crypto,site_109,cryptojacking,0.0034047,0.001636071,6080,3005770.4,1724.903893,13,2,0,6
crypto,site_112,cryptojacking,0.0034637,0.001513411,864,10205112,275.739007,44,12,0,14
crypto,site_149,cryptojacking,0.0069699,0.003850091,32712,2735020,9873.272527,11,1,0,5
crypto,site_151,cryptojacking,0.001918,0.001272714,864,504068,275.739007,2,0,0,1
crypto,site_155,cryptojacking,0.0023092,0.001256851,864,482876,275.739007,4,0,0,1
crypto,site_156,cryptojacking,0.0053555,0.003427267,31248,2734907.2,9444.600371,14,1,0,5
crypto,site_157,cryptojacking,0.0072928,0.004419812,31248,2740945.2,10067.14657,14,1,0,5
crypto,site_159,cryptojacking,0.0207288,0.008303621,2144,2647252,665.9153099,10,1,0,4
crypto,site_179,cryptojacking,0.0073852,0.004126128,32428,2484578.4,9819.435617,13,1,0,5
crypto,site_190,cryptojacking,0.0076701,0.004283146,32324,2498995.2,10554.48868,15,1,0,6
crypto,site_194,cryptojacking,0.0083329,0.004278861,32428,2514251.6,9797.183342,13,1,0,5
crypto,site_2,cryptojacking,0.0182511,0.012681022,-128108,2686173.2,69347.22072,25,10,0,6
crypto,site_20,cryptojacking,0.2782018,0.178864699,864,1208068,275.739007,13,1,0,3
crypto,site_21,cryptojacking,0.0024602,0.001215144,864,978116,275.739007,14,0,0,7
crypto,site_225,cryptojacking,0.0071259,0.003834739,32412,2497758,9821.993158,13,1,0,5
crypto,site_254,cryptojacking,0.0020493,0.001194592,864,979424,275.739007,3,0,0,1
crypto,site_285,cryptojacking,0.0022396,0.001385613,864,635900,275.739007,13,0,0,5
crypto,site_286,cryptojacking,0.002888,0.00187169,864,3001976,275.739007,30,10,0,4
crypto,site_287,cryptojacking,0.0055541,0.002513279,8608,11955202.4,2775.783969,51,19,0,14
crypto,site_288,cryptojacking,0.0530501,0.034513829,21559920,24910480.4,6840013.297,12,0,0,3
crypto,site_3,cryptojacking,0.0560776,0.034561161,21359660,25222750.4,6896649.09,11,0,0,3
