dataset,site_id,label,total_requests,script_requests,wasm_requests,unique_hosts
crypto,site_0,cryptojacking,2,1,0,1
crypto,site_1,cryptojacking,13,0,0,6
crypto,site_109,cryptojacking,13,2,0,6
crypto,site_112,cryptojacking,44,12,0,14
crypto,site_149,cryptojacking,11,1,0,5
crypto,site_151,cryptojacking,2,0,0,1
crypto,site_155,cryptojacking,4,0,0,1
crypto,site_156,cryptojacking,14,1,0,5
crypto,site_157,cryptojacking,14,1,0,5
crypto,site_159,cryptojacking,10,1,0,4
crypto,site_179,cryptojacking,13,1,0,5
crypto,site_190,cryptojacking,15,1,0,6
crypto,site_194,cryptojacking,13,1,0,5
crypto,site_2,cryptojacking,25,10,0,6
crypto,site_20,cryptojacking,13,1,0,3
crypto,site_21,cryptojacking,14,0,0,7
crypto,site_225,cryptojacking,13,1,0,5
crypto,site_254,cryptojacking,3,0,0,1
crypto,site_285,cryptojacking,13,0,0,5
crypto,site_286,cryptojacking,30,10,0,4
crypto,site_287,cryptojacking,51,19,0,14
crypto,site_288,cryptojacking,12,0,0,3
crypto,site_3,cryptojacking,11,0,0,3
crypto,site_31,cryptojacking,29,4,0,5
crypto,site_344,cryptojacking,15,3,0,4
crypto,site_356,cryptojacking,7,0,0,3
crypto,site_395,cryptojacking,44,6,0,12
crypto,site_4,cryptojacking,124,89,0,5
crypto,site_403,cryptojacking,3,0,0,1
crypto,site_406,cryptojacking,12,1,0,3
crypto,site_408,cryptojacking,78,7,0,4
crypto,site_410,cryptojacking,3,0,0,1
crypto,site_42,cryptojacking,7,0,0,2
crypto,site_427,cryptojacking,15,1,0,6
crypto,site_428,cryptojacking,3,0,0,1
crypto,site_432,cryptojacking,3,0,0,1
crypto,site_433,cryptojacking,39,6,0,14
crypto,site_439,cryptojacking,5,0,0,2
crypto,site_44,cryptojacking,21,5,0,7
crypto,site_442,cryptojacking,3,0,0,1
crypto,site_446,cryptojacking,4,0,0,1
crypto,site_46,cryptojacking,16,1,0,6
crypto,site_490,cryptojacking,3,0,0,1
crypto,site_5,cryptojacking,13,1,0,5
crypto,site_504,cryptojacking,42,9,0,13
crypto,site_512,cryptojacking,3,0,0,1
crypto,site_513,cryptojacking,4,0,0,2
crypto,site_514,cryptojacking,44,9,0,14
crypto,site_516,cryptojacking,39,6,0,14
crypto,site_519,cryptojacking,13,0,0,3
crypto,site_520,cryptojacking,13,0,0,5
crypto,site_523,cryptojacking,43,9,0,13
crypto,site_525,cryptojacking,39,6,0,14
crypto,site_526,cryptojacking,13,0,0,3
