dataset,site_id,label,task_mean,task_std,heap_delta,heap_mean,heap_std
crypto,site_0,cryptojacking,0.0047291,0.002788469452943675,864,504024.0,275.7390070338254
crypto,site_1,cryptojacking,0.0064031999999999995,0.0030602900777540677,864,636460.0,275.7390070338254
crypto,site_109,cryptojacking,0.0034047,0.001636071272897364,6080,3005770.4,1724.90389297491
crypto,site_112,cryptojacking,0.0034637,0.0015134109190831154,864,10205112.0,275.7390070338254
crypto,site_149,cryptojacking,0.006969899999999999,0.0038500913872270615,32712,2735020.0,9873.27252738422
crypto,site_151,cryptojacking,0.001918,0.0012727135577183107,864,504068.0,275.7390070338254
crypto,site_155,cryptojacking,0.0023092,0.0012568505718660433,864,482876.0,275.7390070338254
crypto,site_156,cryptojacking,0.0053555,0.0034272674902901877,31248,2734907.2,9444.600370582124
crypto,site_157,cryptojacking,0.0072927999999999995,0.004419812253931155,31248,2740945.2,10067.146574874134
crypto,site_159,cryptojacking,0.020728800000000002,0.0083036210269978,2144,2647252.0,665.9153099306247
crypto,site_179,cryptojacking,0.0073852,0.004126128252975179,32428,2484578.4,9819.435617182895
crypto,site_190,cryptojacking,0.007670100000000001,0.004283146213941336,32324,2498995.2,10554.488683020129
crypto,site_194,cryptojacking,0.0083329,0.004278861447862037,32428,2514251.6,9797.183342165237
crypto,site_2,cryptojacking,0.0182511,0.012681022470211146,-128108,2686173.2,69347.2207154692
crypto,site_20,cryptojacking,0.2782018,0.17886469887308676,864,1208068.0,275.7390070338254
crypto,site_21,cryptojacking,0.0024602,0.0012151440079266325,864,978116.0,275.7390070338254
crypto,site_225,cryptojacking,0.0071259,0.0038347391684441855,32412,2497758.0,9821.993158213865
crypto,site_254,cryptojacking,0.0020493,0.0011945922358696293,864,979424.0,275.7390070338254
crypto,site_285,cryptojacking,0.0022396,0.0013856132360799678,864,635900.0,275.7390070338254
crypto,site_286,cryptojacking,0.0028879999999999995,0.0018716904658623444,864,3001976.0,275.7390070338254
crypto,site_287,cryptojacking,0.0055541,0.002513278514212064,8608,11955202.4,2775.7839685393387
crypto,site_288,cryptojacking,0.0530501,0.03451382907024371,21559920,24910480.4,6840013.297206128
crypto,site_3,cryptojacking,0.056077600000000005,0.03456116073629473,21359660,25222750.4,6896649.089526351
crypto,site_31,cryptojacking,0.0049513000000000005,0.002797188018349857,9104,4522666.8,3613.9879579212766
crypto,site_344,cryptojacking,0.0047456,0.0028679239948087884,35720,2252926.8,11891.95439614532
crypto,site_356,cryptojacking,0.0023153,0.001301257318903529,864,612484.0,275.7390070338254
crypto,site_395,cryptojacking,0.010139,0.005186455186348379,5352,12545568.0,1733.8465906763493
crypto,site_4,cryptojacking,0.1385994,0.08494445561800958,111960,16106134.8,38709.741949023635
crypto,site_403,cryptojacking,0.0023526,0.001605085056936236,864,504024.0,275.7390070338254
crypto,site_406,cryptojacking,0.0029848,0.0017791798560010733,864,920920.0,275.7390070338254
crypto,site_408,cryptojacking,0.0018536999999999998,0.0011389814792172872,864,5147500.0,275.7390070338254
crypto,site_410,cryptojacking,0.0027048,0.0017401317651258481,864,504028.0,275.7390070338254
crypto,site_42,cryptojacking,0.0015872,0.0009733087690964261,864,504164.0,275.7390070338254
crypto,site_427,cryptojacking,0.006750899999999999,0.003672552557826777,32440,2503883.2,9822.686198795114
crypto,site_428,cryptojacking,0.0022526,0.0014203694730597388,864,504024.0,275.7390070338254
crypto,site_432,cryptojacking,0.0029178999999999997,0.0018206491397301128,864,504024.0,275.7390070338254
crypto,site_433,cryptojacking,0.0256102,0.015431181845860025,-1747888,12079700.8,1173288.8929757068
crypto,site_439,cryptojacking,0.0017804000000000001,0.0010307761347644793,864,484772.0,275.7390070338254
crypto,site_44,cryptojacking,0.0026786,0.0014508218498492501,864,2207524.0,275.7390070338254
crypto,site_442,cryptojacking,0.0026214000000000003,0.0017666027397239027,864,504016.0,275.7390070338254
crypto,site_446,cryptojacking,0.0022784,0.0015190462929088105,864,482876.0,275.7390070338254
crypto,site_46,cryptojacking,0.0059471,0.0036579211705557568,30192,2748990.0,9959.983815247893
crypto,site_490,cryptojacking,0.0030141,0.00173830989469657,864,504020.0,275.7390070338254
crypto,site_5,cryptojacking,0.0072429999999999994,0.003974753325679469,32376,2497358.8,9800.367184957919
crypto,site_504,cryptojacking,0.004118800000000001,0.00195203211039163,864,9390992.0,275.7390070338254
crypto,site_512,cryptojacking,0.0029877999999999997,0.0019023849137332855,864,504020.0,275.7390070338254
crypto,site_513,cryptojacking,0.0026477,0.0018303073539709118,864,504044.0,275.7390070338254
crypto,site_514,cryptojacking,0.004911100000000001,0.0023008183957018424,864,9184516.0,275.7390070338254
crypto,site_516,cryptojacking,0.0254911,0.01510031043025275,839064,11040671.6,295638.2534893616
crypto,site_519,cryptojacking,0.0480307,0.03488298967132834,21335836,25516208.4,6885466.308814461
crypto,site_520,cryptojacking,0.0022902,0.0013732240749418866,864,636120.0,275.7390070338254
crypto,site_523,cryptojacking,0.0033605999999999996,0.001830035037915941,864,9274528.0,275.7390070338254
crypto,site_525,cryptojacking,0.0230256,0.013322158880601898,1320232,13697479.2,444015.3574453929
crypto,site_526,cryptojacking,0.049984,0.03447708214452029,21285092,25691294.4,6907409.919218103
crypto,site_528,cryptojacking,0.0025785,0.0013789485305840824,864,15073760.0,275.7390070338254
crypto,site_529,cryptojacking,0.029257,0.019167548017417355,2667152,11942019.6,1069263.0454834956
crypto,site_530,cryptojacking,0.0038427,0.0024694799877707048,6624,1949092.0,2113.9990539259948
crypto,site_531,cryptojacking,0.0049138,0.0027977532342935464,864,8735424.0,275.7390070338254
crypto,site_532,cryptojacking,0.0092839,0.0059262150053807534,30328,13551124.0,9452.54522337767
crypto,site_533,cryptojacking,0.0103284,0.006957889050566989,30600,14218578.4,9488.640990152384
crypto,site_535,cryptojacking,0.0274777,0.01407808368386834,-2256232,7693188.8,783098.0655132281
crypto,site_536,cryptojacking,0.027996399999999998,0.014264599547130651,2720728,12636040.0,766851.8920970333
crypto,site_537,cryptojacking,0.025178799999999994,0.014425151186729379,3365096,18025919.2,1317589.9338690168
crypto,site_538,cryptojacking,0.0070178,0.003959030785432213,32412,2500916.0,9814.471437627193
crypto,site_545,cryptojacking,0.0072009000000000005,0.0038597227996321182,32640,2488279.2,9871.679540989973
crypto,site_546,cryptojacking,0.2481144,0.16468295972759295,-14715084,25400528.4,6142485.355981945
crypto,site_547,cryptojacking,0.003804900000000001,0.0021832974350738383,864,5553128.0,275.7390070338254
crypto,site_548,cryptojacking,0.0025303,0.0015024156581984894,6624,1821892.0,2113.9990539259948
crypto,site_576,cryptojacking,0.0027834,0.0016781003664858667,6944,1821772.0,2249.1811843424266
crypto,site_577,cryptojacking,0.0038339999999999997,0.0022822536668828026,864,7385328.0,275.7390070338254
crypto,site_578,cryptojacking,0.0022189,0.0012465276932342897,1100,628986.0,382.8785708289248
crypto,site_579,cryptojacking,0.4553416,0.28700019597979376,-1376812,12358037.2,1540594.5034491587
crypto,site_58,cryptojacking,0.0018966,0.0012222033546018436,864,504016.0,275.7390070338254
crypto,site_580,cryptojacking,0.0025084999999999994,0.001469276437570548,864,504024.0,275.7390070338254
crypto,site_581,cryptojacking,0.0036297000000000005,0.0015010674901549232,864,3705716.0,275.7390070338254
crypto,site_584,cryptojacking,0.0034325000000000002,0.001813050040677311,864,3988096.0,275.7390070338254
crypto,site_585,cryptojacking,0.0100991,0.006601458784995936,30864,14238421.2,9561.196418858886
crypto,site_586,cryptojacking,0.18164249999999998,0.11443429807120765,-1534832,11171816.4,1205840.051639951
crypto,site_587,cryptojacking,0.0027948,0.0018348770967015749,864,504024.0,275.7390070338254
crypto,site_588,cryptojacking,0.0023185,0.0015444954030362148,864,514988.0,275.7390070338254
crypto,site_589,cryptojacking,0.0023001000000000002,0.001571968539761531,864,504128.0,275.7390070338254
crypto,site_592,cryptojacking,0.0021585999999999997,0.0014349284442089787,864,504016.0,275.7390070338254
crypto,site_6,cryptojacking,0.0035215000000000003,0.0022015982944215778,1032,10726268.0,351.29474803930674
crypto,site_7,cryptojacking,0.023324900000000003,0.013469551035205293,-1255864,10001764.4,808648.7358994881
crypto,site_8,cryptojacking,0.07887060000000001,0.04079103637369366,1533208,73039258.8,468174.0693547219
crypto,site_82,cryptojacking,0.0022600000000000003,0.0013458696073542933,864,504068.0,275.7390070338254
crypto,site_9,cryptojacking,0.0525744,0.031767348596318204,1788108,92607368.4,578939.0309328263
crypto,site_92,cryptojacking,0.0018894,0.0011027677180621494,864,612948.0,275.7390070338254
crypto,site_99,cryptojacking,0.0072291,0.004028368936678963,32348,2492840.4,9813.467391294475
benign,site_0,benign,0.0083957,0.004910418272408166,864,12596848.0,275.7390070338254
benign,site_10,benign,0.08905699999999998,0.0565394647533915,1224824,23875194.0,537744.0013039663
benign,site_100,benign,0.0050781,0.0028025636281804557,864,504016.0,275.7390070338254
benign,site_101,benign,0.2298379,0.1520431825649871,864,6825408.0,275.7390070338254
benign,site_102,benign,0.012531400000000002,0.005968421838308683,21896,9951458.0,6529.682687543093
benign,site_103,benign,0.0051023,0.0031892099350779653,864,504388.0,275.7390070338254
benign,site_106,benign,0.0093688,0.006195494311190997,245412,40567034.4,93511.20684409971
benign,site_107,benign,0.0025604,0.001769618105693994,864,504024.0,275.7390070338254
benign,site_108,benign,0.0212284,0.009245219934647308,1312,868446.4,420.6630956002678
benign,site_109,benign,0.1268312,0.07289143863417706,-210140,24086182.8,1955287.9542124122
benign,site_11,benign,0.2144749,0.19985029966675058,-8024680,51644706.0,3338321.3133833595
benign,site_110,benign,0.0488433,0.0345470214462839,21580224,25509550.4,6951480.255610875
benign,site_111,benign,0.0198136,0.011554795214109164,56820,1067770.0,18140.946766913792
